23.201293,72.632019,46.7,4
23.201293,72.632019,46.7,4
23.201137,72.631962,48.1,4
23.201019,72.631908,48.6,4
23.200949,72.631915,100,4
23.200794,72.631871,10,4
23.200699,72.631843,90,4
23.200474,72.63178,53.2,4
23.200344,72.631752,54.1,4
23.200207,72.631725,55.1,4
23.200063,72.631695,55.5,4
23.199921,72.631668,51.6,4
23.199794,72.631633,55.3,4
23.199654,72.631605,55,4
23.199514,72.63158,56.2,5
23.199372,72.631557,55.5,5
23.199234,72.63154,55.4,5
23.199097,72.631519,54.7,5
23.19896,72.631498,53.4,5
23.198827,72.631487,53.4,5
23.19869,72.631472,50.9,5
23.198562,72.631463,49.3,5
23.198441,72.631457,47.6,4
23.19832,72.631449,45,4
23.19821,72.631447,42.1,4
23.198107,72.631446,37.9,4
23.198012,72.631438,34.6,4
23.197925,72.631439,30.2,4
23.197851,72.631442,25.9,4
23.197785,72.631443,20.6,4
23.197738,72.631446,20.3,4.1
23.197689,72.631461,11.8,4.1
23.197671,72.631456,12.4,4.1
23.197641,72.631455,10.6,4.1
23.19762,72.631458,10.9,4.1
23.197595,72.631458,11.1,4.1
23.197566,72.631456,11.2,4.1
23.197538,72.631454,10.9,4.1
23.197508,72.631458,11.1,4.1
23.197478,72.631453,13.9,4.1
23.197441,72.631462,12.7,4.1
23.197411,72.631465,13.6,4.1
23.197377,72.631464,14.5,4.1
23.19734,72.631459,14.9,4.1
23.1973,72.631453,15.1,4.1
23.197261,72.631445,15.5,4.1
23.197221,72.631432,15.8,4.1
23.197192,72.631401,20.4,4.1
23.197226,72.631285,19.5,4.1
23.197243,72.631228,17.9,4.1
23.197254,72.631184,17.3,4.1
23.197266,72.631137,19,4.1
23.197273,72.631075,22,4.1
23.197271,72.63101,25.5,4.1
23.197269,72.630936,28.8,4.1
23.197272,72.630859,30.6,4.1
23.197272,72.630773,30,4.1
23.197276,72.630693,31.1,4.1
23.197275,72.630606,33.9,4.1
23.197276,72.630512,36.1,4.1
23.197277,72.630412,35.3,4.1
23.197275,72.630314,41.1,4.1
23.197277,72.630194,43.5,4.1
23.197278,72.630074,46.3,4.1
23.197288,72.629942,45.9,4.1
23.197289,72.629817,45.6,4.1
23.19729,72.629692,46.9,4.1
23.197289,72.629564,48.4,4.1
23.197286,72.629429,49.8,4.1
23.197284,72.629289,50,4.1
23.197277,72.629155,52.8,4.1
23.197271,72.629009,53.3,4.1
23.197256,72.628864,53.7,4.1
23.197252,72.628716,54.1,4.1
23.197245,72.628567,54.4,4.1
23.197234,72.628424,55.3,4.1
23.197225,72.628276,56,4.1
23.197216,72.628128,56.7,4.1
23.197205,72.627978,56.8,4.1
23.197194,72.627828,57.3,4.1
23.19718,72.627671,57.7,4.1
23.197167,72.627516,58.4,4.1
23.197151,72.627358,58.6,4.1
23.197134,72.627197,60.1,4.1
23.197112,72.627033,60,4.1
23.197089,72.62687,60.6,4.1
23.197065,72.626708,60.8,4.1
23.197044,72.626546,61,4.1
23.197019,72.626384,60.3,4.1
23.196989,72.626223,60.9,4.1
23.196957,72.626058,62,4.1
23.196931,72.625888,62,4.1
23.196896,72.625722,59.5,4.1
23.196863,72.625565,59.9,4.1
23.196836,72.625407,59.4,4.1
23.196808,72.625249,59,4.1
23.19678,72.625108,60.2,4.1
23.196742,72.62494,59.1,4.1
23.196719,72.624786,59.5,4.1
23.196685,72.624627,59.5,4.1
23.196656,72.624467,59.9,4.1
23.196613,72.624309,60.1,4.1
23.196576,72.62415,60.3,4.1
23.196535,72.623988,60.3,4.1
23.196494,72.623832,59.7,4.1
23.196455,72.62368,59.3,4.1
23.19642,72.623522,59.2,4.1
23.196378,72.623365,59.4,4.1
23.196334,72.623209,59.3,4.1
23.196285,72.623061,59.1,4.1
23.196246,72.622906,63.8,4.1
23.196188,72.622739,60.3,4.1
23.196138,72.622591,60.9,4.1
23.196085,72.622436,61.5,4.1
23.19603,72.62228,61.7,4.1
23.195978,72.622125,61.7,4.1
23.195927,72.621965,61.6,4.1
23.195876,72.62181,61.6,4.1
23.195823,72.621656,61.6,4.1
23.195766,72.621499,62.1,4.1
